,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(3, 0)","(3, 1)","(3, 2)","(3, 3)"
0x1437562,,,,,,,,,,,,-20.0,,,,
0x17211bc,,,60.664365010173114,-76.53991671301351,,,,-63.85448173291856,,,,47.86117293106271,,,,
0x140867c,,,,,,,,89.97796445761136,,,,-48.92493475686705,,46.19586551184969,-86.21415009628907,
0x150d7ff,,,,,,,,,,,,99.99999999999997,,-94.39820203576873,99.99908656147667,
0x150d53e,,,,,,,,,,,,73.7856,,,,
0x7e6ff,-98.57832938946544,,-66.89738214114715,,,,,,,,,,,,,
0xe1f456,,,,,,,,0.0,,,,,,0.0,,0.0
0xf25f7a,,,,,,,,,,,,,,0.0,,0.0
0x123eaf9,,0.0,,,,,,,,,,,,,,0.0
0x16c02b1,,,,,,,,,,,,,,,,-67.232
0x1fde38,,,,,,,,,0.0,,,,0.0,,0.0,
0x205d6d,0.0,,,,,,,,0.0,,,,,,,
0x18d46ca,,,,,,,,,0.0,,,,,,,
0x18a9c5f,,,,,,,,,,,,,0.0,,,0.0
0x1b24079,,,,,,,,,,,,,20.0,,,
0x946d70,-55.34543464870206,,-62.147349948553014,,,,,,,,,,,,,
0x174d05c,,,-65.04108502072908,,,,,,,,,,,,,
0x143dd68,,,,,,,,,,,,,,0.0,26.30109191272111,0.0
0x1445abd,,,,0.0,,,,,,,,,,,-20.0,17.914997403308348
0x1445bf8,,,,,,,,,,,,0.0,,41.792832215698624,,
0x144106b,,,,0.0,,,,,,,,,,,0.0,0.0
0x14c12bb,,,,,,,,,,,,,,,0.0,20.0
0xacba17,0.0,,,,,,,,-0.6480000000000001,,,,,,0.0,
0xd467ae,,,,,,,,0.0,,,,,,0.0,,0.0
0x28affeb,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0
0x28f89f9,,,,,,,,,,,,,,0.0,0.0,0.0
0x2906dd4,,,,,,,,,,,,,,,-20.0,
0x334021,1.2416241327833089,,,,0.0,,,,,,,,,0.0,,
